mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.1824321746826172,0.010599588318870997,0.04107515017191569,0.006882513500778429,8,1,100,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.20009473684210669,-0.14865394736842044,-0.12536211779448708,-0.1580369340016714,0.031222549714898726,19,-0.05142631578947177,-0.057473333333332995,-0.055108533138401875,-0.05466939408706888,0.0024881368697274382
0.3460240364074707,0.008702246811779897,0.06287447611490886,0.005078217117912144,8,1,200,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.19613947368421095,-0.15340592105263268,-0.13000695621629568,-0.15985078365104644,0.027380402445244832,25,-0.04714736842105279,-0.05950824561403546,-0.05632697947520303,-0.05432753117009709,0.00524062123471337
0.0944684346516927,0.007156984448828836,0.03345592816670736,0.010308423250736611,8,3,50,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.19028983785220624,-0.14842676122123477,-0.1261404738536317,-0.15495235764235757,0.026592264311812323,8,-0.08321808840282494,-0.08510785543403969,-0.08491724650593048,-0.0844143967809317,0.0008494893534804958
0.17098426818847656,0.012168867792631063,0.04244812329610189,0.011517042891101368,8,3,100,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.18800783986481343,-0.14741256968178,-0.12533574786324758,-0.15358538580328032,0.02595541720098233,2,-0.08257024948735477,-0.08491796622237417,-0.08403706633035582,-0.08384176068002824,0.0009683496922634063
0.3411977291107178,0.0259903304437398,0.058195273081461586,0.005402551360635424,8,3,200,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.18410756645401324,-0.15260958521011134,-0.128125117587091,-0.15494742308373852,0.0229144460945043,5,-0.07979441368572977,-0.08815308792815348,-0.08464404737806071,-0.08419718299731466,0.0034270127520260787
0.10166104634602864,0.0069204378601956055,0.02407725652058919,0.0065940305018034875,8,5,50,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.18848810844280345,-0.15708286571615518,-0.12597743200126346,-0.15718280205340737,0.02551997463097424,13,-0.10479430425683858,-0.10800798842239602,-0.10249998902040337,-0.10510076056654599,0.002259048613230424
0.17208266258239746,0.002857054839484773,0.04322520891825358,0.013822685056723169,8,5,100,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.18615633279078608,-0.15470511823971636,-0.12767659524627026,-0.15617934875892425,0.023897000405025542,11,-0.10586683242734463,-0.10581018018089206,-0.10142205265135291,-0.10436635508652986,0.002082064679046374
0.3449401060740153,0.016416167209061125,0.06682984034220378,0.004446380689873465,8,5,200,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.18217254446884273,-0.15940497703033005,-0.1302063305579078,-0.15726128401902686,0.021269201706603753,17,-0.10470776561850001,-0.1087563455395541,-0.1010359996300893,-0.10483337026271448,0.003153069154060706
0.1109923521677653,0.02961469450217007,0.052599191665649414,0.006761833174601538,16,1,50,"{'max_depth': 16, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.201315789473684,-0.14638947368421,-0.12966315789473706,-0.15912280701754367,0.030606407132934506,23,-0.047968421052631695,-0.05574736842105275,-0.05753333333333398,-0.05374970760233947,0.004152499110523604
0.21536827087402344,0.04066893343927709,0.05366841952006022,0.013765114199561116,16,1,100,"{'max_depth': 16, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.2000947368421066,-0.14878947368420983,-0.12647894736842205,-0.15845438596491282,0.030820761530757412,22,-0.0514263157894714,-0.057289473684210085,-0.055101754385965145,-0.05460584795321555,0.0024191730704507235
0.3405454158782959,0.020721942731535437,0.05513604482014974,0.003283874645335875,16,1,200,"{'max_depth': 16, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.19613947368421103,-0.15318157894736936,-0.13107105263157598,-0.16013070175438546,0.027014719264516932,26,-0.047147368421052695,-0.059246052631579504,-0.05642192982456121,-0.05427178362573113,0.00516797100183881
0.11603228251139323,0.017773642366943287,0.038844903310139976,0.014572269901076856,16,3,50,"{'max_depth': 16, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.1902898378522061,-0.1484267612212349,-0.12614047385363164,-0.15495235764235754,0.02659226431181227,7,-0.08321808840282494,-0.08510785543403955,-0.08491724650593047,-0.08441439678093166,0.0008494893534804552
0.20081297556559244,0.01816429392122556,0.05265537897745768,0.010663246245438816,16,3,100,"{'max_depth': 16, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.18800783986481337,-0.14741256968177985,-0.1253357478632476,-0.1535853858032803,0.02595541720098231,1,-0.08257024948735485,-0.0849179662223742,-0.08403706633035583,-0.0838417606800283,0.0009683496922633811
0.34424924850463867,0.020605888262006274,0.05937520662943522,0.0039468290527887384,16,3,200,"{'max_depth': 16, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.18410756645401297,-0.1526095852101112,-0.12812511758709108,-0.15494742308373843,0.02291444609450416,4,-0.07979441368572963,-0.08815308792815353,-0.08464404737806078,-0.08419718299731464,0.0034270127520261624
0.11135474840799968,0.01858052569807991,0.022746801376342773,0.0024421881796313923,16,5,50,"{'max_depth': 16, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.18848810844280398,-0.15708286571615504,-0.12597743200126318,-0.1571828020534074,0.025519974630974565,14,-0.10479430425683868,-0.10800798842239619,-0.10249998902040348,-0.10510076056654612,0.0022590486132304482
0.19184446334838867,0.006267876143869767,0.0436402956644694,0.011202068381988988,16,5,100,"{'max_depth': 16, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.1861563327907859,-0.1547051182397165,-0.12767659524627037,-0.15617934875892425,0.023897000405025414,11,-0.10586683242734453,-0.10581018018089192,-0.10142205265135287,-0.10436635508652976,0.0020820646790463385
0.3091771602630615,0.05055228559628458,0.0426491896311442,0.005891333266791104,16,5,200,"{'max_depth': 16, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.1821725444688428,-0.15940497703033008,-0.13020633055790745,-0.15726128401902675,0.02126920170660393,16,-0.1047077656185002,-0.10875634553955421,-0.10103599963008932,-0.10483337026271457,0.0031530691540607434
